Formula              ✕,Band gap              ✕,Cond. band minimum              ✕,Val. band maximum              ✕,Work function (avg. if finite dipole)              ✕
Fe2Mo2Cl2O8,0.951,-5.397,-6.349,7.223
Mn2Mo2O12Te2,1.546,-2.002,-3.548,5.599
Zn2H8N4Te2,1.822,0.037,-1.786,1.946
Cs2C2F6O6S2,5.633,0.659,-4.973,4.073
Sn2C2H6O6P2,4.034,-0.212,-4.246,3.644
Hf3N2O2,0.32,2.577,2.257,4.357
Cu2Br2,1.522,-0.676,-2.198,4.5
K2Br2,4.374,-0.593,-4.967,3.936
C2F2,3.165,-0.921,-4.086,6.1
Ga2Cl2,2.396,-1.233,-3.63,3.765
In2Te2,1.145,-0.243,-1.388,4.684
Ir2Se2,0.134,1.059,0.925,4.074
Cu2S2,0.624,-2.887,-3.511,5.584
In2F2,1.335,-0.981,-2.315,5.545
GaN,1.877,-1.546,-3.423,4.381
Pb2Se2,0.478,-1.734,-2.213,4.158
Sb2Se2,0.438,-1.029,-1.467,4.531
Se2Si2,1.195,-0.646,-1.841,4.426
Tl2Se2,0.449,-1.47,-1.919,5.615
Zn2Se2,1.621,-0.906,-2.528,4.916
BaI2,3.873,0.277,-3.596,4.604
CaI2,2.946,-0.125,-3.071,4.882
CdI2,2.335,-1.158,-3.494,4.891
CoF2,0.302,-3.617,-3.918,5.642
FeBr2,0.733,-0.643,-1.376,4.288
Br2Ge,1.302,-2.708,-4.011,5.464
HfBr2,0.732,1.361,0.629,2.991
HfO2,4.777,0.143,-4.633,5.476
HgCl2,2.447,-2.3,-4.747,6.399
Al2Te2,1.748,0.226,-1.522,4.399
OsO2,0.265,-2.243,-2.508,5.977
Pb2S4,1.083,-1.168,-2.25,4.362
PdSe2,0.229,-0.652,-0.881,3.655
PtSe2,1.167,-0.625,-1.792,4.883
Re4S8,1.272,-0.16,-1.432,5.086
Ru2O4,0.045,-2.983,-3.029,6.661
Ru2Te4,0.157,-2.357,-2.514,5.057
ScBr2,0.157,-0.397,-0.554,3.846
SnCl2,2.745,-1.468,-4.213,5.818
SrI2,3.984,0.401,-3.582,4.537
Ti2Cl4,0.32,-0.663,-0.984,4.487
TiS2,1.266,-2.642,-3.908,5.937
Tl2Cl4,1.909,-2.822,-4.731,6.37
ZnBr2,3.353,-0.62,-3.973,5.263
ZrI2,0.687,1.496,0.809,3.051
GeH2O2,1.121,-0.331,-1.452,2.387
Bi2SSe2,0.354,-0.943,-1.296,5.827
Bi2Se2Te,0.111,-0.799,-0.909,5.698
Cu2MoSe4,0.895,-1.361,-2.256,4.757
Au2ReF6,0.182,-4.347,-4.53,6.815
Al2I6,0.799,-1.782,-2.581,5.151
Bi2Br6,1.954,-2.61,-4.564,6.214
Co2Cl6,1.13,-2.379,-3.509,5.992
Ir2Br6,0.026,-1.856,-1.882,4.786
Mo2Cl6,0.507,-0.863,-1.37,4.811
Sc2Cl6,3.922,-1.58,-5.503,6.246
